식품군	식품명
어패류 및 그 제품	"세고리물레고둥"
어패류 및 그 제품	"위고둥"
어패류 및 그 제품	"조각매물고둥"
어패류 및 그 제품	"콩깍지고둥"
어패류 및 그 제품	"고둥"
어패류 및 그 제품	"피뿔고둥"
어패류 및 그 제품	"굴"
어패류 및 그 제품	"석굴"
어패류 및 그 제품	"참굴"
어패류 및 그 제품	"어리굴젓"
어패류 및 그 제품	"꼬막"
어패류 및 그 제품	"다슬기"
어패류 및 그 제품	"곳체다슬기"
어패류 및 그 제품	"띠구슬다슬기"
어패류 및 그 제품	"염주알다슬기"
어패류 및 그 제품	"좀주름다슬기"
